Wavelength	T
600.00	99.1
599.00	99.1
598.00	99.1
597.00	99.1
596.00	99.1
595.00	99.1
594.00	99.1
593.00	99.1
592.00	99.1
591.00	99.1
590.00	99.1
589.00	99.1
588.00	99.1
587.00	99.1
586.00	99.1
585.00	99.0
584.00	99.0
583.00	99.0
582.00	99.0
581.00	99.0
580.00	99.0
579.00	99.0
578.00	99.0
577.00	99.0
576.00	99.0
575.00	99.0
574.00	99.0
573.00	99.0
572.00	99.0
571.00	99.0
570.00	99.0
569.00	99.0
568.00	99.0
567.00	99.0
566.00	99.0
565.00	99.0
564.00	99.0
563.00	99.0
562.00	99.0
561.00	98.9
560.00	98.9
559.00	98.9
558.00	98.9
557.00	98.9
556.00	98.9
555.00	98.9
554.00	98.9
553.00	98.9
552.00	98.9
551.00	98.9
550.00	98.9
549.00	98.9
548.00	98.9
547.00	98.9
546.00	98.9
545.00	98.9
544.00	98.9
543.00	98.9
542.00	98.9
541.00	98.9
540.00	98.9
539.00	98.8
538.00	98.8
537.00	98.8
536.00	98.8
535.00	98.8
534.00	98.8
533.00	98.8
532.00	98.8
531.00	98.8
530.00	98.8
529.00	98.7
528.00	98.7
527.00	98.7
526.00	98.7
525.00	98.7
524.00	98.7
523.00	98.7
522.00	98.7
521.00	98.7
520.00	98.7
519.00	98.7
518.00	98.7
517.00	98.7
516.00	98.7
515.00	98.7
514.00	98.7
513.00	98.7
512.00	98.7
511.00	98.7
510.00	98.7
509.00	98.6
508.00	98.6
507.00	98.6
506.00	98.6
505.00	98.6
504.00	98.6
503.00	98.6
502.00	98.6
501.00	98.6
500.00	98.6
499.00	98.6
498.00	98.6
497.00	98.6
496.00	98.6
495.00	98.5
494.00	98.5
493.00	98.5
492.00	98.5
491.00	98.5
490.00	98.5
489.00	98.5
488.00	98.5
487.00	98.5
486.00	98.5
485.00	98.5
484.00	98.5
483.00	98.5
482.00	98.5
481.00	98.5
480.00	98.5
479.00	98.5
478.00	98.4
477.00	98.4
476.00	98.4
475.00	98.4
474.00	98.4
473.00	98.4
472.00	98.3
471.00	98.3
470.00	98.3
469.00	98.3
468.00	98.3
467.00	98.3
466.00	98.3
465.00	98.3
464.00	98.3
463.00	98.3
462.00	98.3
461.00	98.3
460.00	98.3
459.00	98.3
458.00	98.3
457.00	98.3
456.00	98.3
455.00	98.3
454.00	98.3
453.00	98.3
452.00	98.2
451.00	98.2
450.00	98.2
449.00	98.2
448.00	98.1
447.00	98.1
446.00	98.1
445.00	98.1
444.00	98.1
443.00	98.1
442.00	98.0
441.00	98.0
440.00	98.0
439.00	98.0
438.00	98.0
437.00	98.0
436.00	98.0
435.00	98.0
434.00	98.0
433.00	98.0
432.00	98.0
431.00	98.0
430.00	97.9
429.00	97.9
428.00	97.9
427.00	97.9
426.00	97.9
425.00	97.9
424.00	97.9
423.00	97.9
422.00	97.8
421.00	97.8
420.00	97.8
419.00	97.8
418.00	97.8
417.00	97.8
416.00	97.8
415.00	97.8
414.00	97.8
413.00	97.8
412.00	97.8
411.00	97.7
410.00	97.7
409.00	97.7
408.00	97.7
407.00	97.7
406.00	97.7
405.00	97.7
404.00	97.7
403.00	97.6
402.00	97.6
401.00	97.6
400.00	97.6
399.00	97.6
398.00	97.6
397.00	97.6
396.00	97.6
395.00	97.5
394.00	97.5
393.00	97.5
392.00	97.5
391.00	97.5
390.00	97.5
389.00	97.4
388.00	97.4
387.00	97.4
386.00	97.4
385.00	97.4
384.00	97.4
383.00	97.4
382.00	97.4
381.00	97.4
380.00	97.4
379.00	97.4
378.00	97.4
377.00	97.4
376.00	97.4
375.00	97.3
374.00	97.3
373.00	97.3
372.00	97.3
371.00	97.3
370.00	97.3
369.00	97.3
368.00	97.3
367.00	97.3
366.00	97.2
365.00	97.2
364.00	97.2
363.00	97.2
362.00	97.1
361.00	97.1
360.00	97.1
359.00	97.1
358.00	97.0
357.00	97.0
356.00	97.0
355.00	97.0
354.00	97.0
353.00	96.9
352.00	96.9
351.00	96.9
350.00	96.9
349.00	96.8
348.00	96.8
347.00	96.8
346.00	96.8
345.00	96.8
344.00	96.8
343.00	96.8
342.00	96.8
341.00	96.8
340.00	96.8
339.00	96.8
338.00	96.7
337.00	96.7
336.00	96.7
335.00	96.7
334.00	96.6
333.00	96.6
332.00	96.6
331.00	96.5
330.00	96.5
329.00	96.5
328.00	96.4
327.00	96.4
326.00	96.4
325.00	96.3
324.00	96.3
323.00	96.3
322.00	96.2
321.00	96.2
320.00	96.2
319.00	96.1
318.00	96.1
317.00	96.0
316.00	96.0
315.00	96.0
314.00	95.9
313.00	95.9
312.00	95.8
311.00	95.8
310.00	95.7
309.00	95.7
308.00	95.7
307.00	95.6
306.00	95.6
305.00	95.5
304.00	95.5
303.00	95.5
302.00	95.4
301.00	95.4
300.00	95.3
299.00	95.3
298.00	95.2
297.00	95.2
296.00	95.1
295.00	95.1
294.00	95.0
293.00	95.0
292.00	94.9
291.00	94.9
290.00	94.9
