Wavelength	T
600.00	87.2
599.00	87.2
598.00	87.1
597.00	87.1
596.00	87.1
595.00	87.1
594.00	87.0
593.00	87.0
592.00	87.0
591.00	86.9
590.00	86.9
589.00	86.9
588.00	86.9
587.00	86.8
586.00	86.8
585.00	86.8
584.00	86.7
583.00	86.7
582.00	86.7
581.00	86.7
580.00	86.6
579.00	86.6
578.00	86.6
577.00	86.6
576.00	86.5
575.00	86.5
574.00	86.5
573.00	86.5
572.00	86.4
571.00	86.4
570.00	86.4
569.00	86.4
568.00	86.3
567.00	86.3
566.00	86.3
565.00	86.2
564.00	86.2
563.00	86.2
562.00	86.1
561.00	86.1
560.00	86.1
559.00	86.0
558.00	86.0
557.00	86.0
556.00	85.9
555.00	85.9
554.00	85.9
553.00	85.9
552.00	85.8
551.00	85.8
550.00	85.8
549.00	85.7
548.00	85.7
547.00	85.7
546.00	85.6
545.00	85.6
544.00	85.6
543.00	85.5
542.00	85.5
541.00	85.5
540.00	85.4
539.00	85.4
538.00	85.3
537.00	85.3
536.00	85.3
535.00	85.2
534.00	85.2
533.00	85.2
532.00	85.1
531.00	85.1
530.00	85.0
529.00	85.0
528.00	85.0
527.00	84.9
526.00	84.9
525.00	84.8
524.00	84.8
523.00	84.7
522.00	84.7
521.00	84.6
520.00	84.6
519.00	84.6
518.00	84.5
517.00	84.5
516.00	84.5
515.00	84.5
514.00	84.5
513.00	84.4
512.00	84.4
511.00	84.4
510.00	84.4
509.00	84.3
508.00	84.3
507.00	84.3
506.00	84.2
505.00	84.2
504.00	84.2
503.00	84.2
502.00	84.1
501.00	84.1
500.00	84.1
499.00	84.0
498.00	84.0
497.00	84.0
496.00	83.9
495.00	83.9
494.00	83.8
493.00	83.8
492.00	83.8
491.00	83.7
490.00	83.7
489.00	83.7
488.00	83.6
487.00	83.6
486.00	83.6
485.00	83.5
484.00	83.5
483.00	83.5
482.00	83.4
481.00	83.4
480.00	83.4
479.00	83.3
478.00	83.3
477.00	83.3
476.00	83.2
475.00	83.2
474.00	83.1
473.00	83.1
