Wavelength	T
800.00	99.0
790.00	99.0
780.00	99.0
770.00	99.1
760.00	99.0
750.00	99.0
740.00	99.0
730.00	99.0
720.00	99.0
710.00	99.0
700.00	99.0
690.00	99.0
680.00	99.0
670.00	99.1
660.00	99.0
650.00	99.0
640.00	99.0
630.00	99.0
620.00	99.0
610.00	99.0
600.00	99.0
590.00	99.0
580.00	98.9
570.00	98.9
560.00	98.9
550.00	98.8
540.00	98.8
530.00	98.8
520.00	98.8
510.00	98.7
500.00	98.7
490.00	98.7
480.00	98.6
470.00	98.6
460.00	98.6
450.00	98.5
440.00	98.5
430.00	98.5
420.00	98.4
410.00	98.4
400.00	98.3
390.00	98.3
380.00	98.2
370.00	98.2
360.00	98.1
350.00	98.1
340.00	98.0
330.00	97.9
320.00	97.8
310.00	97.7
300.00	97.7
290.00	97.5
280.00	97.2
270.00	96.1
260.00	96.0
250.00	95.0

