Wavelength	T
600.00	99.5
599.00	99.5
598.00	99.4
597.00	99.4
596.00	99.4
595.00	99.4
594.00	99.4
593.00	99.4
592.00	99.4
591.00	99.4
590.00	99.4
589.00	99.4
588.00	99.4
587.00	99.4
586.00	99.4
585.00	99.4
584.00	99.4
583.00	99.4
582.00	99.4
581.00	99.4
580.00	99.4
579.00	99.4
578.00	99.4
577.00	99.4
576.00	99.4
575.00	99.4
574.00	99.4
573.00	99.4
572.00	99.4
571.00	99.4
570.00	99.4
569.00	99.4
568.00	99.4
567.00	99.4
566.00	99.4
565.00	99.3
564.00	99.3
563.00	99.3
562.00	99.3
561.00	99.3
560.00	99.3
559.00	99.3
558.00	99.3
557.00	99.3
556.00	99.3
555.00	99.3
554.00	99.3
553.00	99.3
552.00	99.3
551.00	99.3
550.00	99.3
549.00	99.3
548.00	99.3
547.00	99.3
546.00	99.3
545.00	99.3
544.00	99.3
543.00	99.3
542.00	99.3
541.00	99.3
540.00	99.3
539.00	99.3
538.00	99.3
537.00	99.3
536.00	99.3
535.00	99.3
534.00	99.3
533.00	99.3
532.00	99.3
531.00	99.3
530.00	99.3
529.00	99.3
528.00	99.3
527.00	99.3
526.00	99.3
525.00	99.3
524.00	99.3
523.00	99.3
522.00	99.3
521.00	99.3
520.00	99.3
519.00	99.3
518.00	99.3
517.00	99.3
516.00	99.3
515.00	99.3
514.00	99.3
513.00	99.3
512.00	99.3
511.00	99.3
510.00	99.3
509.00	99.3
508.00	99.3
507.00	99.3
506.00	99.3
505.00	99.3
504.00	99.3
503.00	99.3
502.00	99.2
501.00	99.2
500.00	99.2
499.00	99.2
498.00	99.2
497.00	99.2
496.00	99.2
495.00	99.2
494.00	99.2
493.00	99.2
492.00	99.2
491.00	99.2
490.00	99.2
489.00	99.2
488.00	99.2
487.00	99.2
486.00	99.2
485.00	99.2
484.00	99.2
483.00	99.2
482.00	99.2
481.00	99.2
480.00	99.2
479.00	99.2
478.00	99.2
477.00	99.2
476.00	99.2
475.00	99.2
474.00	99.2
473.00	99.2
472.00	99.2
471.00	99.2
470.00	99.2
469.00	99.2
468.00	99.2
467.00	99.2
466.00	99.2
465.00	99.1
464.00	99.1
463.00	99.1
462.00	99.1
461.00	99.1
460.00	99.1
459.00	99.1
458.00	99.1
457.00	99.1
456.00	99.1
455.00	99.1
454.00	99.1
453.00	99.1
452.00	99.1
451.00	99.1
450.00	99.1
449.00	99.1
448.00	99.1
447.00	99.1
446.00	99.1
445.00	99.1
444.00	99.1
443.00	99.1
442.00	99.1
441.00	99.1
440.00	99.0
439.00	99.0
438.00	99.0
437.00	99.0
436.00	99.0
435.00	99.1
434.00	99.1
433.00	99.0
432.00	99.0
431.00	99.0
430.00	99.0
429.00	99.0
428.00	99.0
427.00	99.0
426.00	99.0
425.00	99.0
424.00	99.0
