Wavelength	T
600.00	97.7
599.00	97.7
598.00	97.6
597.00	97.6
596.00	97.6
595.00	97.6
594.00	97.6
593.00	97.6
592.00	97.6
591.00	97.6
590.00	97.6
589.00	97.5
588.00	97.5
587.00	97.5
586.00	97.5
585.00	97.5
584.00	97.5
583.00	97.5
582.00	97.5
581.00	97.5
580.00	97.5
579.00	97.5
578.00	97.5
577.00	97.5
576.00	97.5
575.00	97.5
574.00	97.4
573.00	97.4
572.00	97.4
571.00	97.4
570.00	97.4
569.00	97.4
568.00	97.4
567.00	97.4
566.00	97.4
565.00	97.4
564.00	97.4
563.00	97.3
562.00	97.3
561.00	97.3
560.00	97.3
559.00	97.3
558.00	97.3
557.00	97.3
556.00	97.3
555.00	97.3
554.00	97.3
553.00	97.3
552.00	97.2
551.00	97.2
550.00	97.2
549.00	97.2
548.00	97.2
547.00	97.2
546.00	97.2
545.00	97.2
544.00	97.2
543.00	97.2
542.00	97.2
541.00	97.2
540.00	97.2
539.00	97.2
538.00	97.2
537.00	97.2
536.00	97.2
535.00	97.1
534.00	97.1
533.00	97.1
532.00	97.1
531.00	97.1
530.00	97.1
529.00	97.1
528.00	97.1
527.00	97.1
526.00	97.1
525.00	97.0
524.00	97.0
523.00	97.0
522.00	96.9
521.00	96.9
520.00	96.9
519.00	96.9
518.00	96.9
517.00	96.9
516.00	96.9
515.00	96.8
514.00	96.8
513.00	96.8
512.00	96.8
511.00	96.8
510.00	96.8
509.00	96.8
508.00	96.8
507.00	96.8
506.00	96.8
505.00	96.8
504.00	96.7
503.00	96.7
502.00	96.7
501.00	96.7
500.00	96.6
499.00	96.6
498.00	96.6
497.00	96.6
496.00	96.6
495.00	96.6
494.00	96.6
493.00	96.6
492.00	96.6
491.00	96.6
490.00	96.6
489.00	96.6
488.00	96.5
487.00	96.5
486.00	96.5
485.00	96.5
484.00	96.5
483.00	96.5
482.00	96.4
481.00	96.4
480.00	96.4
479.00	96.4
478.00	96.3
477.00	96.3
476.00	96.3
475.00	96.3
474.00	96.2
473.00	96.2
472.00	96.2
471.00	96.2
470.00	96.2
469.00	96.2
468.00	96.2
467.00	96.1
466.00	96.1
465.00	96.1
464.00	96.1
463.00	96.1
462.00	96.1
461.00	96.1
460.00	96.1
459.00	96.1
458.00	96.1
457.00	96.1
456.00	96.0
455.00	96.0
454.00	96.0
453.00	96.0
452.00	95.9
451.00	95.9
450.00	95.9
449.00	95.8
448.00	95.7
447.00	95.7
446.00	95.7
445.00	95.7
444.00	95.6
443.00	95.6
442.00	95.6
441.00	95.6
440.00	95.6
439.00	95.6
438.00	95.5
437.00	95.5
436.00	95.5
435.00	95.5
434.00	95.5
433.00	95.4
432.00	95.4
431.00	95.4
430.00	95.4
429.00	95.4
428.00	95.3
427.00	95.3
426.00	95.3
425.00	95.3
424.00	95.3
423.00	95.2
422.00	95.2
421.00	95.2
420.00	95.2
419.00	95.2
418.00	95.2
417.00	95.1
416.00	95.1
415.00	95.1
414.00	95.1
413.00	95.1
412.00	95.1
411.00	95.1
410.00	95.1
409.00	95.1
408.00	95.0
407.00	95.0
406.00	95.0
405.00	95.0
404.00	95.0
403.00	95.0
402.00	94.9
401.00	94.9
400.00	94.9
399.00	94.9
398.00	94.9
397.00	94.9
396.00	94.8
395.00	94.8
394.00	94.8
393.00	94.8
392.00	94.7
391.00	94.7
390.00	94.7
389.00	94.7
388.00	94.6
387.00	94.6
386.00	94.6
385.00	94.6
384.00	94.6
383.00	94.6
382.00	94.6
381.00	94.6
380.00	94.6
379.00	94.6
378.00	94.6
377.00	94.6
376.00	94.6
375.00	94.6
374.00	94.5
373.00	94.5
372.00	94.5
371.00	94.5
370.00	94.5
369.00	94.4
368.00	94.4
367.00	94.4
366.00	94.4
365.00	94.4
364.00	94.4
363.00	94.4
362.00	94.3
361.00	94.3
360.00	94.3
359.00	94.3
358.00	94.3
357.00	94.3
356.00	94.3
355.00	94.2
354.00	94.2
353.00	94.2
352.00	94.2
351.00	94.2
350.00	94.1
349.00	94.1
348.00	94.1
347.00	94.0
346.00	94.0
345.00	94.0
344.00	94.0
343.00	94.0
342.00	93.9
341.00	93.9
340.00	93.9
339.00	93.8
338.00	93.8
337.00	93.7
336.00	93.7
335.00	93.7
334.00	93.7
333.00	93.7
332.00	93.6
331.00	93.6
330.00	93.6
329.00	93.6
328.00	93.6
327.00	93.5
326.00	93.5
325.00	93.5
324.00	93.5
323.00	93.5
322.00	93.4
321.00	93.4
320.00	93.4
319.00	93.4
318.00	93.4
317.00	93.4
316.00	93.4
315.00	93.3
314.00	93.3
313.00	93.3
312.00	93.3
311.00	93.3
310.00	93.2
309.00	93.2
308.00	93.2
307.00	93.2
306.00	93.2
305.00	93.2
304.00	93.1
303.00	93.1
302.00	93.1
301.00	93.1
300.00	93.1
299.00	93.1
298.00	93.0
297.00	93.0
296.00	93.0
295.00	93.0
294.00	93.0
293.00	92.9
292.00	92.9
291.00	92.9
290.00	92.9
289.00	92.9
288.00	92.9
287.00	92.8
286.00	92.8
285.00	92.8
284.00	92.8
283.00	92.8
282.00	92.8
281.00	92.8
280.00	92.8
279.00	92.7
278.00	92.7
277.00	92.6
276.00	92.5
275.00	92.4
274.00	92.4
273.00	92.4
272.00	92.4
271.00	92.5
270.00	92.5
269.00	92.5
268.00	92.6
267.00	92.5
266.00	92.5
265.00	92.5
264.00	92.4
263.00	92.4
262.00	92.4
261.00	92.4
260.00	92.4
259.00	92.4
258.00	92.3
257.00	92.3
256.00	92.3
255.00	92.3
254.00	92.3
253.00	92.3
252.00	92.3
251.00	92.3
250.00	92.3
249.00	92.3
248.00	92.3
247.00	92.3
246.00	92.2
245.00	92.2
244.00	92.2
243.00	92.1
242.00	92.1
241.00	92.1
240.00	92.0
239.00	92.0
238.00	91.9
237.00	91.8
236.00	91.7
235.00	91.5
234.00	91.4
233.00	91.2
232.00	91.0
231.00	90.8
230.00	90.6
229.00	90.3
228.00	90.0
227.00	89.7
226.00	89.3
225.00	89.0
224.00	88.6
223.00	88.2
222.00	87.7
221.00	87.3
220.00	86.8
219.00	86.3
218.00	85.8
217.00	85.3
216.00	84.8
215.00	84.4
214.00	83.9
213.00	83.5
212.00	83.1
211.00	82.7
210.00	82.3
209.00	82.0
208.00	81.7
207.00	81.4
206.00	81.1
205.00	80.9
204.00	80.6
203.00	80.3
202.00	80.0
201.00	79.7
200.00	79.5

